age,balance,day,duration,campaign,pdays,previous,deposit
44,146,15,483,1,-1,0,yes
49,341,15,520,2,-1,0,yes
40,-9,15,920,2,-1,0,yes
41,-306,15,500,1,-1,0,yes
44,4580,15,911,2,-1,0,yes
60,313,15,920,2,-1,0,yes
29,10576,15,1224,2,-1,0,yes
41,-233,15,1156,2,-1,0,yes
41,2453,15,1052,1,-1,0,yes
42,1364,15,1867,6,-1,0,yes
36,281,16,515,1,-1,0,yes
39,94,16,813,1,-1,0,yes
31,144,16,676,1,-1,0,yes
40,84,28,715,8,-1,0,no
31,609,14,1126,1,335,1,no
29,1856,18,134,1,-1,0,no
37,608,14,380,3,-1,0,no
35,0,7,480,1,-1,0,no
35,1859,14,227,2,-1,0,no
39,282,17,243,1,-1,0,no
28,154,20,21,9,-1,0,no
31,222,13,168,2,-1,0,no
34,897,12,197,4,-1,0,no
31,131,21,157,1,-1,0,no
51,0,8,384,1,-1,0,no
53,37,28,51,9,-1,0,no
34,1704,15,218,2,-1,0,no
42,314,27,11,22,-1,0,no
33,399,7,143,1,-1,0,no
29,300,3,125,1,-1,0,no
25,382,13,392,1,-1,0,no
42,1301,21,510,6,-1,0,no
46,0,30,638,3,-1,0,no
52,930,2,94,16,-1,0,no
60,21,14,113,3,-1,0,no
25,111,7,316,1,-1,0,no
35,102,20,1334,1,-1,0,yes
31,2,20,182,2,-1,0,yes
35,4170,20,1777,1,-1,0,yes
34,85,20,1182,4,-1,0,yes
31,431,20,1045,1,-1,0,yes
44,982,20,650,3,-1,0,yes
36,408,20,1063,2,-1,0,yes
35,4822,20,843,2,-1,0,yes
41,1250,20,1392,2,-1,0,yes
31,216,21,565,1,-1,0,yes
34,1207,21,905,1,-1,0,yes
32,791,21,783,2,-1,0,yes
36,849,21,958,2,-1,0,yes
30,239,21,412,1,-1,0,yes
37,1211,21,795,1,-1,0,yes
36,599,21,649,2,-1,0,yes
31,825,21,506,2,-1,0,yes
27,2183,21,857,1,-1,0,yes
34,4499,21,1681,1,-1,0,yes
30,1289,21,1697,2,-1,0,yes
32,4665,21,860,2,-1,0,yes
37,3326,21,799,1,-1,0,yes
32,783,21,923,3,-1,0,yes
33,0,21,521,3,-1,0,yes
35,994,23,1349,8,-1,0,yes
35,1354,23,736,2,-1,0,yes
30,239,23,785,1,-1,0,yes
45,-311,23,1030,1,-1,0,yes
45,149,23,893,3,-1,0,yes
33,1464,23,588,3,-1,0,yes
44,5773,23,597,6,-1,0,yes
40,278,23,1015,3,-1,0,yes
31,2910,23,1392,2,-1,0,yes
30,541,26,414,2,-1,0,yes
44,1262,26,788,11,-1,0,yes
34,-538,26,682,1,-1,0,yes
37,125,26,679,2,-1,0,yes
28,0,26,1560,2,-1,0,yes
32,620,26,1234,3,-1,0,yes
37,316,26,642,2,-1,0,yes
34,2287,26,895,4,-1,0,yes
38,198,26,431,2,-1,0,yes
28,460,26,741,6,-1,0,yes
31,1145,26,1272,4,-1,0,yes
59,-22,26,748,3,-1,0,yes
24,685,26,896,3,-1,0,yes
26,901,26,764,2,-1,0,yes
59,351,27,1063,5,-1,0,yes
30,0,27,1051,1,-1,0,yes
37,274,27,731,3,-1,0,yes
30,-213,27,751,1,-1,0,yes
25,97,27,709,1,-1,0,yes
44,51,27,3094,2,-1,0,yes
29,314,28,938,2,-1,0,yes
26,6840,28,1560,2,-1,0,yes
26,668,28,576,3,-1,0,yes
27,54,28,543,2,-1,0,yes
25,1242,28,615,2,-1,0,yes
28,292,28,507,1,-1,0,yes
23,665,28,1183,1,-1,0,yes
34,1058,28,864,2,-1,0,yes
28,949,28,1730,1,-1,0,yes
51,606,28,560,9,-1,0,yes
35,0,29,543,1,-1,0,yes
35,404,29,539,1,-1,0,yes
56,249,29,791,2,-1,0,yes
45,3354,29,746,1,-1,0,yes
60,0,29,1207,1,-1,0,yes
56,589,29,535,2,-1,0,yes
27,12956,29,789,3,-1,0,yes
30,873,29,792,3,-1,0,yes
45,594,29,833,2,-1,0,yes
29,-20,29,814,2,-1,0,yes
38,4692,29,1363,2,-1,0,yes
30,486,29,1109,3,-1,0,yes
44,1593,29,828,3,-1,0,yes
36,7606,30,917,1,-1,0,yes
38,226,30,762,3,-1,0,yes
36,366,30,1133,2,-1,0,yes
37,16,30,638,1,-1,0,yes
35,565,30,763,1,-1,0,yes
38,19,30,604,2,-1,0,yes
40,1082,30,854,2,-1,0,yes
42,1713,30,855,2,-1,0,yes
46,14481,30,1269,1,-1,0,yes
35,5724,30,691,10,-1,0,yes
34,1451,30,1097,15,-1,0,yes
32,-34,30,1236,2,-1,0,yes
50,3674,30,886,3,-1,0,yes
35,698,30,1343,3,-1,0,yes
36,4136,30,812,3,-1,0,yes
53,2656,30,1980,2,-1,0,yes
46,2904,30,984,2,-1,0,yes
26,1004,30,228,2,-1,0,yes
45,410,30,891,4,-1,0,yes
31,0,30,745,12,-1,0,yes
29,0,30,539,12,-1,0,yes
53,62,30,1044,5,-1,0,yes
27,416,30,1193,2,-1,0,yes
39,2763,2,526,2,-1,0,yes
36,2984,2,394,1,-1,0,yes
41,143,2,659,2,-1,0,yes
36,0,2,1036,1,-1,0,yes
32,696,2,815,1,-1,0,yes
35,152,2,563,1,-1,0,yes
36,-78,2,1068,1,-1,0,yes
35,867,2,230,3,-1,0,yes
30,953,2,747,2,-1,0,yes
42,443,2,671,5,-1,0,yes
42,-1129,2,555,5,-1,0,yes
32,415,2,777,4,-1,0,yes
29,260,2,707,14,-1,0,yes
44,-411,2,432,4,-1,0,yes
32,1279,3,1173,3,-1,0,yes
31,86,3,963,2,-1,0,yes
40,-754,3,941,3,-1,0,yes
43,0,3,1025,7,-1,0,yes
27,178,3,732,2,-1,0,yes
37,278,3,1045,3,-1,0,yes
23,425,3,768,1,-1,0,yes
25,168,3,801,1,-1,0,yes
26,-36,3,482,2,-1,0,yes
47,126,3,2456,2,-1,0,yes
35,-87,3,1363,7,-1,0,yes
32,6281,3,1336,4,-1,0,yes
45,644,4,633,1,-1,0,yes
30,377,4,524,15,-1,0,yes
29,-271,4,578,1,-1,0,yes
38,5839,4,984,2,-1,0,yes
23,492,4,638,1,-1,0,yes
27,99,4,767,2,-1,0,yes
27,-713,4,525,2,-1,0,yes
29,32,4,563,1,-1,0,yes
30,543,4,1449,6,-1,0,yes
36,403,4,920,1,-1,0,yes
35,437,4,908,1,-1,0,yes
36,1772,5,208,1,-1,0,yes
59,-88,5,910,2,-1,0,yes
47,0,5,1446,1,-1,0,yes
58,853,5,1149,2,-1,0,yes
37,240,5,1123,1,-1,0,yes
46,849,5,508,2,-1,0,yes
43,318,5,736,2,-1,0,yes
27,703,5,590,3,-1,0,yes
38,61,5,636,1,-1,0,yes
53,104,5,701,1,-1,0,yes
47,1996,5,761,2,-1,0,yes
56,1238,5,1558,1,-1,0,yes
41,879,5,1053,2,-1,0,yes
29,425,5,562,15,-1,0,yes
50,416,5,494,5,-1,0,yes
45,844,5,1018,3,-1,0,yes
35,860,5,884,4,-1,0,yes
26,639,6,709,5,-1,0,yes
26,710,6,1276,2,-1,0,yes
37,1508,6,381,2,-1,0,yes
30,223,6,862,11,-1,0,yes
40,49,18,191,1,-1,0,no
58,544,17,97,1,-1,0,no
32,-383,27,241,1,-1,0,no
30,606,30,551,1,-1,0,no
43,-410,9,189,1,-1,0,no
33,469,26,158,9,-1,0,no
30,2,23,269,1,-1,0,no
37,241,14,189,1,371,1,no
40,0,29,299,3,-1,0,no
39,322,11,35,1,350,1,no
39,2193,2,550,3,-1,0,no
26,144,25,730,1,-1,0,no
35,0,24,810,1,-1,0,no
59,3428,19,103,1,-1,0,no
31,10,29,161,3,188,9,no
36,1841,25,141,4,-1,0,no
26,84,29,70,3,-1,0,no
36,622,20,55,5,-1,0,no
59,309,29,25,5,-1,0,no
42,154,14,346,5,372,1,no
35,1949,2,200,3,-1,0,no
59,2605,30,85,2,-1,0,no
59,1033,11,1199,1,-1,0,yes
56,1210,11,935,1,-1,0,yes
49,64,11,586,1,-1,0,yes
35,164,11,967,2,-1,0,yes
36,1766,11,595,2,-1,0,yes
40,1248,11,1290,2,-1,0,yes
55,0,12,614,2,-1,0,yes
58,826,12,885,1,-1,0,yes
39,2630,12,651,5,-1,0,yes
47,3727,12,993,6,-1,0,yes
40,406,12,577,2,-1,0,yes
35,2999,12,1141,6,-1,0,yes
48,1000,12,1268,2,-1,0,yes
48,503,12,1243,7,-1,0,yes
24,-203,12,465,3,-1,0,yes
49,361,16,513,2,-1,0,yes
36,274,16,686,11,-1,0,yes
52,3687,16,741,4,-1,0,yes
42,323,16,617,1,-1,0,yes
