stt,buying,maint,doors,persons,lug_boot,safety,acceptability
185,vhigh,high,4,more,med,med,unacc
190,vhigh,high,5more,2,small,low,unacc
191,vhigh,high,5more,2,small,med,unacc
192,vhigh,high,5more,2,small,high,unacc
193,vhigh,high,5more,2,med,low,unacc
194,vhigh,high,5more,2,med,med,unacc
195,vhigh,high,5more,2,med,high,unacc
196,vhigh,high,5more,2,big,low,unacc
197,vhigh,high,5more,2,big,med,unacc
198,vhigh,high,5more,2,big,high,unacc
217,vhigh,med,2,2,small,low,unacc
218,vhigh,med,2,2,small,med,unacc
219,vhigh,med,2,2,small,high,unacc
220,vhigh,med,2,2,med,low,unacc
221,vhigh,med,2,2,med,med,unacc
222,vhigh,med,2,2,med,high,unacc
235,vhigh,med,2,more,small,low,unacc
236,vhigh,med,2,more,small,med,unacc
237,vhigh,med,2,more,small,high,unacc
238,vhigh,med,2,more,med,low,unacc
244,vhigh,med,3,2,small,low,unacc
245,vhigh,med,3,2,small,med,unacc
246,vhigh,med,3,2,small,high,unacc
247,vhigh,med,3,2,med,low,unacc
248,vhigh,med,3,2,med,med,unacc
262,vhigh,med,3,more,small,low,unacc
263,vhigh,med,3,more,small,med,unacc
264,vhigh,med,3,more,small,high,acc
271,vhigh,med,4,2,small,low,unacc
272,vhigh,med,4,2,small,med,unacc
273,vhigh,med,4,2,small,high,unacc
274,vhigh,med,4,2,med,low,unacc
275,vhigh,med,4,2,med,med,unacc
289,vhigh,med,4,more,small,low,unacc
290,vhigh,med,4,more,small,med,unacc
291,vhigh,med,4,more,small,high,acc
292,vhigh,med,4,more,med,low,unacc
298,vhigh,med,5more,2,small,low,unacc
299,vhigh,med,5more,2,small,med,unacc
300,vhigh,med,5more,2,small,high,unacc
301,vhigh,med,5more,2,med,low,unacc
302,vhigh,med,5more,2,med,med,unacc
303,vhigh,med,5more,2,med,high,unacc
325,vhigh,low,2,2,small,low,unacc
326,vhigh,low,2,2,small,med,unacc
327,vhigh,low,2,2,small,high,unacc
328,vhigh,low,2,2,med,low,unacc
329,vhigh,low,2,2,med,med,unacc
343,vhigh,low,2,more,small,low,unacc
344,vhigh,low,2,more,small,med,unacc
345,vhigh,low,2,more,small,high,unacc
346,vhigh,low,2,more,med,low,unacc
352,vhigh,low,3,2,small,low,unacc
353,vhigh,low,3,2,small,med,unacc
354,vhigh,low,3,2,small,high,unacc
355,vhigh,low,3,2,med,low,unacc
356,vhigh,low,3,2,med,med,unacc
357,vhigh,low,3,2,med,high,unacc
370,vhigh,low,3,more,small,low,unacc
371,vhigh,low,3,more,small,med,unacc
372,vhigh,low,3,more,small,high,acc
373,vhigh,low,3,more,med,low,unacc
379,vhigh,low,4,2,small,low,unacc
380,vhigh,low,4,2,small,med,unacc
381,vhigh,low,4,2,small,high,unacc
382,vhigh,low,4,2,med,low,unacc
397,vhigh,low,4,more,small,low,unacc
398,vhigh,low,4,more,small,med,unacc
399,vhigh,low,4,more,small,high,acc
400,vhigh,low,4,more,med,low,unacc
406,vhigh,low,5more,2,small,low,unacc
407,vhigh,low,5more,2,small,med,unacc
408,vhigh,low,5more,2,small,high,unacc
409,vhigh,low,5more,2,med,low,unacc
410,vhigh,low,5more,2,med,med,unacc
411,vhigh,low,5more,2,med,high,unacc
433,high,vhigh,2,2,small,low,unacc
434,high,vhigh,2,2,small,med,unacc
435,high,vhigh,2,2,small,high,unacc
436,high,vhigh,2,2,med,low,unacc
437,high,vhigh,2,2,med,med,unacc
451,high,vhigh,2,more,small,low,unacc
452,high,vhigh,2,more,small,med,unacc
453,high,vhigh,2,more,small,high,unacc
454,high,vhigh,2,more,med,low,unacc
460,high,vhigh,3,2,small,low,unacc
461,high,vhigh,3,2,small,med,unacc
462,high,vhigh,3,2,small,high,unacc
463,high,vhigh,3,2,med,low,unacc
464,high,vhigh,3,2,med,med,unacc
478,high,vhigh,3,more,small,low,unacc
479,high,vhigh,3,more,small,med,unacc
480,high,vhigh,3,more,small,high,unacc
481,high,vhigh,3,more,med,low,unacc
487,high,vhigh,4,2,small,low,unacc
488,high,vhigh,4,2,small,med,unacc
489,high,vhigh,4,2,small,high,unacc
490,high,vhigh,4,2,med,low,unacc
491,high,vhigh,4,2,med,med,unacc
505,high,vhigh,4,more,small,low,unacc
506,high,vhigh,4,more,small,med,unacc
507,high,vhigh,4,more,small,high,unacc
508,high,vhigh,4,more,med,low,unacc
514,high,vhigh,5more,2,small,low,unacc
515,high,vhigh,5more,2,small,med,unacc
516,high,vhigh,5more,2,small,high,unacc
517,high,vhigh,5more,2,med,low,unacc
518,high,vhigh,5more,2,med,med,unacc
